Hand plotting file for f:\raft\samfinal.hul             05:54:18      03-15-2010
X in.         Y in.         X in-eights   Y in-eights   X mm          Y mm
232.97        -1.77         232-8/8       -1-6/8        5917.4        -45.0
217.67        -2.51         217-5/8       -2-4/8        5528.8        -63.8
188.16        -3.78         188-1/8       -3-6/8        4779.3        -96.0
158.37        -4.69         158-3/8       -4-6/8        4022.6        -119.1
128.60        -5.08         128-5/8       -5-1/8        3266.4        -129.0
101.07        -4.87         101-1/8       -4-7/8        2567.2        -123.7
73.21         -4.03         73-2/8        -4-0/8        1859.5        -102.4
45.31         -2.63         45-2/8        -2-5/8        1150.9        -66.8
30.43         -1.72         30-3/8        -1-6/8        772.9         -43.7
15.22         -0.79         15-2/8        -0-6/8        386.6         -20.1
0.00          0.00          0-0/8         0-0/8         0.0           0.0
chine7.uc     __________    __________    __________    __________    __________
8.64          0.61          8-5/8         0-5/8         219.5         15.5
20.24         0.75          20-2/8        0-6/8         514.1         19.1
31.84         0.92          31-7/8        0-7/8         808.7         23.4
43.14         1.08          43-1/8        1-1/8         1095.8        27.4
70.98         1.45          70-8/8        1-4/8         1802.9        36.8
98.82         1.75          98-7/8        1-6/8         2510.0        44.5
126.35        2.02          126-3/8       2-0/8         3209.3        51.3
156.12        2.26          156-1/8       2-2/8         3965.4        57.4
185.89        2.43          185-7/8       2-3/8         4721.6        61.7
215.38        2.50          215-3/8       2-4/8         5470.7        63.5
230.72        2.49          230-6/8       2-4/8         5860.3        63.2
246.07        2.49          246-1/8       2-4/8         6250.2        63.2
261.12        2.91          261-1/8       2-7/8         6632.4        73.9
260.64        2.43          260-5/8       2-3/8         6620.3        61.7
245.76        1.35          245-6/8       1-3/8         6242.3        34.3
230.59        0.27          230-5/8       0-2/8         5857.0        6.9
215.41        -0.72         215-3/8       -0-6/8        5471.4        -18.3
185.93        -2.24         185-7/8       -2-2/8        4722.6        -56.9
156.16        -3.25         156-1/8       -3-2/8        3966.5        -82.6
126.41        -3.72         126-3/8       -3-6/8        3210.8        -94.5
98.87         -3.69         98-7/8        -3-6/8        2511.3        -93.7
71.02         -3.17         71-0/8        -3-1/8        1803.9        -80.5
43.15         -2.16         43-1/8        -2-1/8        1096.0        -54.9
28.98         -1.46         28-8/8        -1-4/8        736.1         -37.1
14.49         -0.68         14-4/8        -0-5/8        368.0         -17.3
0.00          0.00          0-0/8         0-0/8         0.0           0.0
